Date,Time,Site Name,Agency Name,Material,Ticket No,Vehicle No,Transfer Party Name,First Weight,First Timestamp,Second Weight,Second Timestamp,Net Weight,Material Type,First Front Image,First Back Image,Second Front Image,Second Back Image,Site Incharge,User Name
06-07-2025,0:03:34,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1183,ap21tb4935,On-site,26560,05-07-2025 23:32:28,10780,05-07-2025 23:32:28,15780,Inert,Bethamcherla_ap21tb4935_20250705_233232_1st_front.jpg,Bethamcherla_ap21tb4935_20250705_233236_1st_back.jpg,Bethamcherla_ap21tb4935_20250706_000327_2nd_front.jpg,Bethamcherla_ap21tb4935_20250706_000331_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,23:48:58,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1299,AP27TW7569,On-site,28965,06-07-2025 23:33:46,10365,06-07-2025 23:33:46,18600,Legacy/MSW,Bethamcherla_AP27TW7569_20250706_233349_1st_front.jpg,Bethamcherla_AP27TW7569_20250706_233353_1st_back.jpg,Bethamcherla_AP27TW7569_20250706_234852_2nd_front.jpg,Bethamcherla_AP27TW7569_20250706_234855_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,0:30:46,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1186,ap26ta0434,On-site,25570,06-07-2025 0:05:35,10020,06-07-2025 0:05:35,15550,Inert,Bethamcherla_ap26ta0434_20250706_000540_1st_front.jpg,Bethamcherla_ap26ta0434_20250706_000544_1st_back.jpg,Bethamcherla_ap26ta0434_20250706_003039_2nd_front.jpg,Bethamcherla_ap26ta0434_20250706_003042_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,23:16:40,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1294,AP27TW7569,On-site,29765,06-07-2025 22:59:01,10565,06-07-2025 22:59:01,19200,Legacy/MSW,Bethamcherla_AP27TW7569_20250706_225906_1st_front.jpg,Bethamcherla_AP27TW7569_20250706_225910_1st_back.jpg,Bethamcherla_AP27TW7569_20250706_231633_2nd_front.jpg,Bethamcherla_AP27TW7569_20250706_231636_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,2:20:58,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1197,AP21TB4935,On-site,26580,06-07-2025 2:02:54,10760,06-07-2025 2:02:54,15820,Inert,Bethamcherla_AP21TB4935_20250706_020300_1st_front.jpg,Bethamcherla_AP21TB4935_20250706_020303_1st_back.jpg,Bethamcherla_AP21TB4935_20250706_022051_2nd_front.jpg,Bethamcherla_AP21TB4935_20250706_022055_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,0:27:39,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1185,AP28TC8081,On-site,24680,06-07-2025 0:00:07,10960,06-07-2025 0:00:07,13720,Inert,Bethamcherla_AP28TC8081_20250706_000012_1st_front.jpg,Bethamcherla_AP28TC8081_20250706_000017_1st_back.jpg,Bethamcherla_AP28TC8081_20250706_002731_2nd_front.jpg,Bethamcherla_AP28TC8081_20250706_002736_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,4:20:27,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1204,AP21TB4935,On-site,22860,06-07-2025 4:03:58,10750,06-07-2025 4:03:58,12110,Inert,Bethamcherla_AP21TB4935_20250706_040402_1st_front.jpg,Bethamcherla_AP21TB4935_20250706_040407_1st_back.jpg,Bethamcherla_AP21TB4935_20250706_042020_2nd_front.jpg,Bethamcherla_AP21TB4935_20250706_042024_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,0:40:03,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1188,AP27TW7569,On-site,25330,06-07-2025 0:25:04,10940,06-07-2025 0:25:04,14390,Inert,Bethamcherla_AP27TW7569_20250706_002509_1st_front.jpg,Bethamcherla_AP27TW7569_20250706_002513_1st_back.jpg,Bethamcherla_AP27TW7569_20250706_003956_2nd_front.jpg,Bethamcherla_AP27TW7569_20250706_004000_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,2:52:57,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1201,AP27TW7569,On-site,25260,06-07-2025 2:38:22,10950,06-07-2025 2:38:22,14310,Inert,Bethamcherla_AP27TW7569_20250706_023827_1st_front.jpg,Bethamcherla_AP27TW7569_20250706_023831_1st_back.jpg,Bethamcherla_AP27TW7569_20250706_025249_2nd_front.jpg,Bethamcherla_AP27TW7569_20250706_025254_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,2:11:58,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1196,AP 26 TA 0434,On-site,26480,06-07-2025 1:56:04,10030,06-07-2025 1:56:04,16450,Inert,Bethamcherla_AP_26_TA_0434_20250706_015610_1st_front.jpg,Bethamcherla_AP_26_TA_0434_20250706_015614_1st_back.jpg,Bethamcherla_AP_26_TA_0434_20250706_021149_2nd_front.jpg,Bethamcherla_AP_26_TA_0434_20250706_021155_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,16:00:49,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1257,AP28TC8081,On-site,27730,06-07-2025 15:24:35,10940,06-07-2025 15:24:35,16790,Soil,Bethamcherla_AP28TC8081_20250706_152439_1st_front.jpg,Bethamcherla_AP28TC8081_20250706_152443_1st_back.jpg,Bethamcherla_AP28TC8081_20250706_160041_2nd_front.jpg,Bethamcherla_AP28TC8081_20250706_160044_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,10:22:17,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1225,AP 26 TA 0434,On-site,25830,06-07-2025 10:15:42,10040,06-07-2025 10:15:42,15790,Legacy/MSW,Bethamcherla_AP_26_TA_0434_20250706_101545_1st_front.jpg,Bethamcherla_AP_26_TA_0434_20250706_101550_1st_back.jpg,Bethamcherla_AP_26_TA_0434_20250706_102210_2nd_front.jpg,Bethamcherla_AP_26_TA_0434_20250706_102213_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,21:53:39,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1285,AP28TC8081,On-site,28550,06-07-2025 21:38:27,10120,06-07-2025 21:38:27,18430,Legacy/MSW,Bethamcherla_AP28TC8081_20250706_213832_1st_front.jpg,Bethamcherla_AP28TC8081_20250706_213836_1st_back.jpg,Bethamcherla_AP28TC8081_20250706_215333_2nd_front.jpg,Bethamcherla_AP28TC8081_20250706_215336_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,18:11:07,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1272,AP37TD4869,On-site,28410,06-07-2025 17:55:50,10500,06-07-2025 17:55:50,17910,Soil,Bethamcherla_AP37TD4869_20250706_175555_1st_front.jpg,Bethamcherla_AP37TD4869_20250706_175558_1st_back.jpg,Bethamcherla_AP37TD4869_20250706_181100_2nd_front.jpg,Bethamcherla_AP37TD4869_20250706_181103_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,23:13:46,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1292,AP26TA0434,On-site,28875,06-07-2025 22:46:23,10055,06-07-2025 22:46:23,18820,Legacy/MSW,Bethamcherla_AP26TA0434_20250706_224627_1st_front.jpg,Bethamcherla_AP26TA0434_20250706_224631_1st_back.jpg,Bethamcherla_AP26TA0434_20250706_231341_2nd_front.jpg,Bethamcherla_AP26TA0434_20250706_231344_2nd_back.jpg,Avijit Mondal,admin
